x [mm], y [mm], u [m/s], v [m/s]
-1.350000000000000000e+02, -4.500000000000000000e+01, 9.789813995361328125e+00, 4.914438128471374512e-01
-1.250000000000000000e+02, -4.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -4.500000000000000000e+01, nan, nan
-1.050000000000000000e+02, -4.500000000000000000e+01, 9.227517127990722656e+00, -6.777786016464233398e-01
-9.500000000000000000e+01, -4.500000000000000000e+01, 9.042147636413574219e+00, -7.457222938537597656e-01
-8.500000000000000000e+01, -4.500000000000000000e+01, 8.784159660339355469e+00, -8.972536325454711914e-01
-7.500000000000000000e+01, -4.500000000000000000e+01, 8.842558860778808594e+00, -9.727860689163208008e-01
-6.500000000000000000e+01, -4.500000000000000000e+01, 9.223703384399414062e+00, -1.008450388908386230e+00
-5.500000000000000000e+01, -4.500000000000000000e+01, 9.614652633666992188e+00, -9.967052340507507324e-01
-4.500000000000000000e+01, -4.500000000000000000e+01, 1.001081943511962891e+01, -9.328141808509826660e-01
-3.500000000000000000e+01, -4.500000000000000000e+01, 1.035374736785888672e+01, -7.862200736999511719e-01
-2.500000000000000000e+01, -4.500000000000000000e+01, 1.062683773040771484e+01, -5.492486953735351562e-01
-1.500000000000000000e+01, -4.500000000000000000e+01, 1.086141681671142578e+01, -2.801198959350585938e-01
-5.000000000000000000e+00, -4.500000000000000000e+01, 1.110154914855957031e+01, -2.109047770500183105e-02
5.000000000000000000e+00, -4.500000000000000000e+01, 1.127437973022460938e+01, 2.203384786844253540e-01
1.500000000000000000e+01, -4.500000000000000000e+01, 1.128456687927246094e+01, 4.064022302627563477e-01
2.500000000000000000e+01, -4.500000000000000000e+01, 1.115368652343750000e+01, 5.428889393806457520e-01
3.500000000000000000e+01, -4.500000000000000000e+01, 1.091802120208740234e+01, 6.697164773941040039e-01
4.500000000000000000e+01, -4.500000000000000000e+01, 1.069351959228515625e+01, 6.915714740753173828e-01
5.500000000000000000e+01, -4.500000000000000000e+01, 1.055992507934570312e+01, 5.881732106208801270e-01
6.500000000000000000e+01, -4.500000000000000000e+01, 1.045297718048095703e+01, 4.812158346176147461e-01
7.500000000000000000e+01, -4.500000000000000000e+01, 1.039564704895019531e+01, 4.602636992931365967e-01
8.500000000000000000e+01, -4.500000000000000000e+01, 1.033370971679687500e+01, 4.132682085037231445e-01
9.500000000000000000e+01, -4.500000000000000000e+01, 1.024660110473632812e+01, 3.630093932151794434e-01
1.050000000000000000e+02, -4.500000000000000000e+01, 1.018961715698242188e+01, 3.223128318786621094e-01
1.150000000000000000e+02, -4.500000000000000000e+01, 1.025532150268554688e+01, 2.160148322582244873e-01
1.250000000000000000e+02, -4.500000000000000000e+01, 1.031540298461914062e+01, 1.263534724712371826e-01
1.350000000000000000e+02, -4.500000000000000000e+01, 1.032586479187011719e+01, 7.821840047836303711e-02
1.450000000000000000e+02, -4.500000000000000000e+01, 1.036805438995361328e+01, 7.112576812505722046e-02
1.550000000000000000e+02, -4.500000000000000000e+01, 1.044353675842285156e+01, 9.199684113264083862e-02
1.650000000000000000e+02, -4.500000000000000000e+01, 1.048732662200927734e+01, 1.238736510276794434e-01
1.750000000000000000e+02, -4.500000000000000000e+01, 1.050724029541015625e+01, 1.886755675077438354e-01
1.850000000000000000e+02, -4.500000000000000000e+01, 1.074198055267333984e+01, 3.949899971485137939e-01
1.950000000000000000e+02, -4.500000000000000000e+01, 1.097675228118896484e+01, 4.944556951522827148e-01
-1.950000000000000000e+02, -3.500000000000000000e+01, 9.868297576904296875e+00, 2.688200175762176514e-01
